idea_text,label,source
BluePine Industries - Business Idea: Frozen Momos,1,SharkTank
Booz scooters - Business Idea: Renting e-bike for mobility in private spaces,1,SharkTank
Heart up my Sleeves - Business Idea: Detachable Sleeves,1,SharkTank
Tagz Foods - Business Idea: Healthy Potato Chips,1,SharkTank
Head and Heart - Business Idea: Brain Development Course,0,SharkTank
Agro tourism - Business Idea: Tourism,0,SharkTank
Qzense Labs - Business Idea: Food Freshness Detector,0,SharkTank
Peeschute - Business Idea: Disposable Urine Bag,1,SharkTank
NOCD - Business Idea: Energy Drink,1,SharkTank
Cosiq - Business Idea: Intelligent Skincare,1,SharkTank
JhaJi Achaar - Business Idea: Pickle,0,SharkTank
Bummer - Business Idea: Underwear,1,SharkTank
Revamp Moto - Business Idea: E-Bike,1,SharkTank
Hungry Heads - Business Idea: Restaurant serving 80 types of Maggi,0,SharkTank
Shrawani Engineers - Business Idea: Belly Button Shaper,0,SharkTank
Skippi Pops - Business Idea: Ice-Pops,1,SharkTank
Menstrupedia - Business Idea: Menstrual Awareness Comic,1,SharkTank
Hecolll - Business Idea: Pollution Resistant Fabric,0,SharkTank
Raising Superstars - Business Idea: Child Development App,0,SharkTank
Torch-it - Business Idea: Gadgets for visually impaired people,1,SharkTank
La Kheer Deli - Business Idea: Kheer in variety of flavors,0,SharkTank
Beyond Snack - Business Idea: Kerala Banana Chips,1,SharkTank
Vivalyf Innovations- Easy Life - Business Idea: Prickless Diabetes Testing Machine,1,SharkTank
Motion Breeze - Business Idea: Smart Electric Motorcycle,1,SharkTank
Altor - Business Idea: Smart Helmets,1,SharkTank
Ariro - Business Idea: Wooden Toys,1,SharkTank
Kabira Handmade - Business Idea: Healthy Oils,0,SharkTank
Nuutjob - Business Idea: Male Intimate Hygiene,1,SharkTank
Meatyour - Business Idea: Eggs,1,SharkTank
EventBeep - Business Idea: Student Community App,1,SharkTank
Gopal's 56 - Business Idea: Fiber Ice Cream,0,SharkTank
ARRCOAT Surface Textures - Business Idea: Wall Building,1,SharkTank
Farda - Business Idea: Customised Streetwear,1,SharkTank
Auli Lifestyle - Business Idea: Ayurvedic Products,1,SharkTank
SweeDesi - Business Idea: Indian Sweets,0,SharkTank
LOKA - Business Idea: Metaverse App,1,SharkTank
Annie - Business Idea: Braille Literary Device,1,SharkTank
Caragreen - Business Idea: Eco-Friendly boxes,1,SharkTank
The Yarn Bazaar - Business Idea: Yarn-Trading App,1,SharkTank
The Renal Project - Business Idea: Home Dialysis Treatment,1,SharkTank
Morikko Pure Foods - Business Idea: Healthy Food Snacks,0,SharkTank
Good Good Piggy Bank - Business Idea: Digital Piggy Bank,0,SharkTank
Hammer Lifestyle - Business Idea: Smart Audio Products,1,SharkTank
PNT - Business Idea: Robotics and Automation Solutions,1,SharkTank
Cocofit - Business Idea: Coconut based beverage franchise,1,SharkTank
Bamboo India - Business Idea: Bamboo Products,1,SharkTank
Flying Furr - Business Idea: Dog Hygiene,0,SharkTank
Beyond Water - Business Idea: Liquid Water Enhancer,1,SharkTank
Let's Try - Business Idea: Healthy Snacks,1,SharkTank
Find Your Kicks India - Business Idea: Sneaker Resale,1,SharkTank
Aas Vidyalaya - Business Idea: EdTech App,1,SharkTank
Outbox - Business Idea: Premium Surprise-Planning,0,SharkTank
RoadBounce - Business Idea: Pothole Detection Software and Data,1,SharkTank
Mommy's Kitchen - Business Idea: Thin Crust Pizza,0,SharkTank
India Hemp and Co - Business Idea: Hemp Food Products,0,SharkTank
Otua - Business Idea: Electric Auto Vehicle,1,SharkTank
Anthyesti - Business Idea: Funeral Service,0,SharkTank
Ethik - Business Idea: Leather-free Shoes,0,SharkTank
WeSTOCK - Business Idea: Livestock health monitoring AI,1,SharkTank
KetoIndia - Business Idea: Customised Keto Diets for various medical issues,0,SharkTank
Magic lock - Business Idea: LPG Cylinder lock,0,SharkTank
The State Plate - Business Idea: Delicacies,1,SharkTank
Bakarmax - Business Idea: Comics & Animation,0,SharkTank
IN A CAN - Business Idea: Can Cocktails,1,SharkTank
Get a Whey - Business Idea: Sugar-Free Icecream,1,SharkTank
Sid07 Designs - Business Idea: Inventions,1,SharkTank
The Quirky Nari - Business Idea: Customised Apparels,1,SharkTank
Hair Originals - Business Idea: Natural Hair Extensions,1,SharkTank
